Epoch,Total_Loss,PDE_Loss,IC_Loss,BC_Loss,Elapsed_Time
100,144.77247619628906,0.021051308140158653,1.38680899143219,0.060705237090587616,983.24
200,99.39820861816406,0.04525439813733101,0.7619116902351379,0.23161780834197998,39703.48
300,34.248069763183594,0.04877224564552307,0.3191758990287781,0.022817078977823257,944.51
400,20.837326049804688,0.08458198606967926,0.2007840871810913,0.006743350997567177,834.09
500,18.637325286865234,0.07811232656240463,0.18219171464443207,0.003400428220629692,824.39
600,16.68781852722168,0.07803254574537277,0.16388912498950958,0.0022087241522967815,683.15
700,13.223288536071777,0.08191416412591934,0.1298835575580597,0.0015301848761737347,654.77
800,10.260148048400879,0.12088258564472198,0.10058310627937317,0.0008095480734482408,698.95
900,9.497218132019043,0.10621471703052521,0.0933021605014801,0.0006078705773688853,651.95
1000,9.166905403137207,0.0878247395157814,0.09025555849075317,0.000535246857907623,643.51
1100,9.00236701965332,0.07466011494398117,0.08878599852323532,0.000491068814881146,735.54
1200,8.91238784790039,0.0654982477426529,0.08801130950450897,0.0004575785424094647,663.96
1300,8.857380867004395,0.058892056345939636,0.08755677193403244,0.00042811085586436093,657.54
1400,8.819011688232422,0.053909916430711746,0.08725016564130783,0.0004008504911325872,651.10
1500,8.788847923278809,0.04999837279319763,0.08701268583536148,0.0003758160746656358,673.26
1600,8.76300048828125,0.046774666756391525,0.08680889755487442,0.0003533519629854709,652.95
1700,8.73964786529541,0.04404512792825699,0.08662251383066177,0.0003335103683639318,634.14
1800,8.717909812927246,0.04168650507926941,0.08644592761993408,0.00031631524325348437,635.37
1900,8.697470664978027,0.039509695023298264,0.08627623319625854,0.0003033742250408977,655.84
2000,8.677704811096191,0.03770894184708595,0.08610989898443222,0.00029005901888012886,685.64
2100,8.658833503723145,0.03601967170834541,0.0859479084610939,0.0002802381932269782,640.51
2200,8.642377853393555,0.034632157534360886,0.08580458909273148,0.0002728710533119738,657.57
